timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715048.184659,-6,-12,-4,47,2,-8,3,-2,,0
1624715048.184659,15,24,-6,-68,-3,4,85,50,,0
1624715048.186461,-3,-1,11,10,-5,-4,-23,6,,1
1624715048.186461,-3,1,14,24,4,7,-20,-23,,1
1624715048.187587,-6,-8,-20,18,9,-9,2,5,,2
1624715048.187587,6,6,23,-3,-7,-2,63,37,,2
1624715048.189952,3,-2,-33,-15,-6,6,-11,-10,,3
1624715048.189952,2,-5,-3,0,3,1,28,-31,,3
1624715048.190838,-11,-3,-6,-9,-3,-3,-5,56,,0
1624715048.190838,-6,4,11,-24,4,4,106,23,,0
1624715048.205052,-2,-3,-9,-56,-19,-3,-128,-2,,1
1624715048.205052,-25,-14,-4,6,-3,-7,-19,-27,,1
1624715048.209773,20,7,-20,5,8,2,-128,2,,2
1624715048.209773,9,5,-29,-10,-5,5,119,50,,2
1624715048.21992,-8,-6,-39,-52,-7,-3,-128,-41,,3
1624715048.21992,-5,-2,-22,59,8,4,16,-21,,3
1624715048.232633,-11,-10,-45,-108,-4,2,-128,-12,,0
1624715048.232633,10,8,2,14,-2,4,109,46,,0
1624715048.242131,-8,-4,-19,1,-7,-5,-128,-37,,1
1624715048.242131,-4,-3,-12,23,0,2,9,-22,,1
1624715048.247383,-6,-10,-18,10,6,4,-128,-15,,2
1624715048.247383,28,7,-6,2,4,-5,98,29,,2
1624715048.265098,-38,-8,-14,-34,-15,-4,-128,-31,,3
1624715048.265098,2,1,1,23,4,-1,-18,-10,,3
1624715048.270168,-2,-10,-11,3,-4,-4,-128,-30,,0
1624715048.270168,0,6,9,-29,-5,1,84,30,,0
1624715048.284776,-6,0,-9,4,5,0,-128,-47,,1
1624715048.284776,2,3,8,42,1,2,-4,-13,,1
1624715048.2923388,-7,-11,-18,5,-3,-11,-128,-22,,2
1624715048.2923388,4,2,-16,-24,-6,5,84,53,,2
1624715048.3023949,-5,-3,-29,-50,-10,-8,-128,-48,,3
1624715048.3023949,2,-7,33,26,9,2,-17,-10,,3
1624715048.315064,-15,-5,13,16,9,5,-128,-46,,0
1624715048.315064,2,4,-65,6,-14,2,94,43,,0
1624715048.324425,-8,-10,-16,-32,-8,-6,-128,-39,,1
1624715048.324425,10,1,-20,2,0,0,-36,-22,,1
1624715048.330088,-17,-5,6,10,9,-1,-80,-26,,2
1624715048.330088,8,-9,-7,-25,-7,2,93,47,,2
1624715048.345031,22,6,25,13,-4,-9,-128,-43,,3
1624715048.345031,-1,1,-2,40,11,8,123,1,,3
1624715048.352601,-6,-6,-10,-3,4,-7,-74,-20,,0
1624715048.352601,12,13,24,-18,-6,2,127,56,,0
1624715048.362219,-11,-11,-19,31,1,-1,-108,-36,,1
1624715048.362219,-3,-3,-21,-38,-2,1,127,11,,1
1624715048.374702,-3,-2,-16,-2,4,0,-23,-15,,2
1624715048.374702,8,6,-1,-19,-12,-8,127,65,,2
1624715048.38474,-2,1,6,-8,2,3,-51,-30,,3
1624715048.38474,2,3,7,10,1,5,127,17,,3
1624715048.390156,0,3,15,0,1,1,8,13,,0
1624715048.390156,3,5,-1,-8,2,-1,23,31,,0
1624715048.405164,-10,-9,-8,-4,-5,-7,-26,-16,,1
1624715048.405164,-2,-4,-6,36,0,-4,-54,-17,,1
1624715048.412663,-37,-9,5,36,-1,-4,32,6,,2
1624715048.412663,10,9,10,-22,-8,4,28,38,,2
1624715048.422112,0,-4,1,-14,0,4,2,-8,,3
1624715048.422112,-1,6,-15,9,2,-7,-56,-25,,3
1624715048.435801,-3,-2,10,5,5,-6,15,9,,0
1624715048.435801,0,6,-1,-36,-9,0,38,31,,0
1624715048.442662,0,4,18,-3,-3,1,-1,-5,,1
1624715048.442662,-17,-10,-27,3,2,2,-35,-30,,1
1624715048.450179,2,-5,26,39,4,9,39,14,,2
1624715048.450179,12,8,15,-67,-13,-14,-12,35,,2
1624715048.4651,-2,7,0,-35,-1,6,-12,-16,,3
1624715048.4651,-3,-10,-41,17,0,0,-42,-27,,3
1624715048.472176,2,10,6,31,-1,0,51,23,,0
1624715048.472176,2,-2,10,-19,-8,4,19,35,,0
1624715048.4822478,-2,5,18,5,-1,-2,-11,-12,,1
1624715048.4822478,-16,-10,9,21,11,1,-56,-25,,1
1624715048.4958458,0,-2,0,57,6,3,25,9,,2
1624715048.4958458,12,0,-10,-46,-15,-1,21,41,,2
1624715048.502508,-24,-2,1,22,2,1,-25,-15,,3
1624715048.502508,-3,-2,-12,-49,3,1,-30,-19,,3
1624715048.509575,-3,-7,-29,76,-1,-13,19,-1,,0
1624715048.509575,9,2,34,-17,-10,9,21,36,,0
1624715048.525148,-2,-3,0,12,-2,-1,1,-9,,1
1624715048.525148,-6,-8,-39,-25,0,-7,-66,-41,,1
1624715048.533185,2,-4,-14,-6,0,1,60,30,,2
1624715048.533185,7,14,-3,-74,-11,4,-4,29,,2
1624715048.542926,-5,2,15,31,1,-1,-6,-12,,3
1624715048.542926,-4,-6,-5,6,-2,-11,-71,-29,,3
1624715048.5559108,1,-1,-4,1,1,-1,33,7,,0
1624715048.5559108,0,-4,-12,33,-9,3,-9,17,,0
1624715048.56198,6,-5,3,-69,-6,-1,5,3,,1
1624715048.56198,-36,-8,4,-15,3,-6,-81,-37,,1
1624715048.569568,15,1,-16,32,-1,3,60,15,,2
1624715048.569568,3,8,35,-3,-10,-9,-37,16,,2
1624715048.584693,-7,3,9,20,-2,3,-18,-13,,3
1624715048.584693,-3,-5,-13,31,7,5,-52,-22,,3
1624715048.593478,3,2,9,52,6,4,52,17,,0
1624715048.593478,8,5,15,0,-14,-8,-56,11,,0
1624715048.60076,-16,1,6,-15,-6,1,-15,-8,,1
1624715048.60076,2,-8,-35,67,-3,-7,-80,-41,,1
1624715048.6156218,5,-1,-7,-65,-3,0,49,26,,2
1624715048.6156218,5,3,9,21,-7,-1,-69,6,,2
1624715048.6226869,-2,-4,-9,10,0,2,-7,-8,,3
1624715048.6226869,-4,-3,-4,11,3,0,-59,-35,,3
1624715048.6301172,1,-4,-3,11,-2,-5,-9,13,,0
1624715048.6301172,21,6,7,-40,-12,-3,-42,13,,0
1624715048.6445959,-11,-3,-7,-12,-8,-5,-6,-10,,1
1624715048.6445959,-5,-13,-40,31,15,3,-84,-31,,1
1624715048.6522791,-4,0,36,39,-1,-1,55,16,,2
1624715048.6522791,1,4,7,-4,-9,-2,-34,10,,2
1624715048.6622112,-5,-4,24,34,-1,-7,-13,-16,,3
1624715048.6622112,-8,-17,-64,-35,0,3,-55,-27,,3
1624715048.675384,-3,-1,-7,-39,-2,1,40,18,,0
1624715048.675384,3,-2,8,102,-9,-12,-58,2,,0
1624715048.682035,-1,-1,-32,-128,-8,-4,-7,-5,,1
1624715048.682035,8,-2,-17,127,18,8,-36,-22,,1
1624715048.690214,-20,-3,46,-46,-3,-4,32,5,,2
1624715048.690214,13,3,-6,-15,-13,0,-17,14,,2
1624715048.7056582,-3,1,-9,-13,2,-1,-15,-12,,3
1624715048.7056582,-4,-12,-36,7,8,3,-39,-34,,3
1624715048.712492,23,3,-17,-21,3,3,-8,5,,0
1624715048.712492,-1,6,11,60,-2,5,-7,3,,0
1624715048.7224178,-3,7,-38,-69,-7,-4,-33,-4,,1
1624715048.7224178,-6,-6,-2,31,7,1,-44,-37,,1
1624715048.7352629,-6,-4,-24,-7,-1,-11,-2,9,,2
1624715048.7352629,1,1,31,27,-5,2,-55,-4,,2
1624715048.757271,-5,5,-1,-62,-5,-5,-22,-16,,3
1624715048.757271,-4,-9,9,58,9,0,-17,-19,,3
1624715048.767254,-1,0,-23,2,1,3,20,21,,0
1624715048.767254,3,4,31,-64,-9,-2,-7,10,,0
1624715048.781184,0,1,32,4,2,3,0,-5,,1
1624715048.781184,-4,-8,-15,11,9,-10,-43,-37,,1
1624715048.7835982,31,2,-10,35,-3,5,29,22,,2
1624715048.7835982,-69,-10,12,-7,-10,-6,-3,12,,2
1624715048.8039622,5,-3,-20,-3,2,8,30,-12,,3
1624715048.8039622,0,-6,-9,15,8,-9,-16,-27,,3
1624715048.8067,2,4,-6,1,1,2,42,18,,0
1624715048.8067,1,1,-4,-62,-11,-8,9,7,,0
1624715048.817291,-1,-2,0,9,-4,1,13,-6,,1
1624715048.817291,-4,-5,-5,59,11,-1,-41,-41,,1
1624715048.8275871,0,-1,26,2,2,5,38,21,,2
1624715048.8275871,-1,0,7,-25,-11,0,-24,3,,2
1624715048.841186,-2,-3,-7,3,-3,3,-17,-9,,3
1624715048.841186,-5,-7,3,23,15,-3,-3,-28,,3
1624715048.844486,2,-1,-4,12,4,3,33,14,,0
1624715048.844486,-1,-10,-12,8,-8,-6,-26,6,,0
1624715048.863637,-1,-1,-17,-1,2,4,16,7,,1
1624715048.863637,-29,-7,16,5,-1,-10,-27,-41,,1
1624715048.867219,16,11,-2,3,6,-1,19,13,,2
1624715048.867219,11,5,-2,-24,2,1,-18,3,,2
1624715048.877138,-17,-3,4,16,-3,-8,-17,-4,,3
1624715048.877138,-6,-6,-11,4,2,2,-14,-36,,3
1624715048.88705,-3,-6,-21,-24,-3,-8,33,14,,0
